Title,Total Price (PLN),Price per SQM (PLN),Rooms,Area (SQM),URL
2-pokojowe mieszkanie 58m2 + loggia,1312200,22496,2,58.33,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-58m2-loggia-ID4umX2
Przestronny apartament w Śródmieściu • 125 m² • ul. Oboźna 9,5350000,42800,3,125,https://www.otodom.pl/pl/oferta/przestronny-apartament-w-srodmiesciu-125-m-ul-obozna-9-ID4BNxN
Nowe 2 pokoje 32 m2 ul. Kolejowa gotowe do odbioru,775000,24433,2,31.72,https://www.otodom.pl/pl/oferta/nowe-2-pokoje-32-m2-ul-kolejowa-gotowe-do-odbioru-ID4AYTZ
2-pokojowe mieszkanie 38m2 + loggia Bezpośrednio,697427,18101,2,38.53,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-38m2-loggia-bezposrednio-ID4vrPY
1-pokojowe mieszkanie 27m2 + ogródek Bezpośrednio,522500,18911,1,27.63,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-ogrodek-bezposrednio-ID4umD7
2-pokojowe mieszkanie 39m2 + balkon Bezpośrednio,645489,16186,2,39.88,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-balkon-bezposrednio-ID4umL1
1-pokojowe mieszkanie 26m2 + balkon Bez Prowizji,N/A,N/A,1,26.98,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bez-prowizji-ID4AQ98
Zakątek Harmonia,N/A,N/A,N/A,N/A,https://www.otodom.pl/pl/oferta/zakatek-harmonia-ID4yHIf
5-pokojowe mieszkanie 106m2 + ogródek,1212036,11428,5,106.06,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-106m2-ogrodek-ID4yHON
4-pokojowe mieszkanie 72m2 + taras Bez Prowizji,917669,12611,4,72.77,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-72m2-taras-bez-prowizji-ID4yHNd
2-pokojowe mieszkanie 49m2 + ogródek Bez Prowizji,609474,12358,2,49.32,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-49m2-ogrodek-bez-prowizji-ID4yHMc
3-pokojowe mieszkanie 58m2 + loggia,739179,12638,3,58.49,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-58m2-loggia-ID4yHMl
Enso Wilanów,N/A,N/A,N/A,N/A,https://www.otodom.pl/pl/oferta/enso-wilanow-ID4ub4y
4-pokojowe mieszkanie 93m2 + balkon,1821816,19441,4,93.71,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-93m2-balkon-ID4vIyf
2-pokojowe mieszkanie 46m2 + loggia Bezpośrednio,954054,20691,2,46.11,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-46m2-loggia-bezposrednio-ID4vIy4
"Unikat! 2 pokoje, 31m2, metro Słodowiec, klima,niski czynsz,wykończone",740000,23871,2,31,https://www.otodom.pl/pl/oferta/unikat-2-pokoje-31m2-metro-slodowiec-klima-niski-czynsz-wykonczone-ID4Bdwi
"3- pokojowe mieszkanie, zielona okolica, własność",498000,10756,3,46.3,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-zielona-okolica-wlasnosc-ID4BNxG
3 pokoje | 54m2 | 754.000 zł | 13.962 zł/m2,754000,13922,3,54.16,https://www.otodom.pl/pl/oferta/3-pokoje-54m2-754-000-zl-13-962-zl-m2-ID4BNxF
Nowe 2 pokoje + GARAŻ/BOKS + 20min Centrum!_ Umów Spotkanie i ZOBACZ,540800,13520,2,40,https://www.otodom.pl/pl/oferta/nowe-2-pokoje-garaz-boks-20min-centrum-umow-spotkanie-i-zobacz-ID4BNxB
3 ciche Pok po Remoncie|8 min Metro Ratusz Arsenał,970000,18654,3,52,https://www.otodom.pl/pl/oferta/3-ciche-pok-po-remoncie-8-min-metro-ratusz-arsenal-ID4Bvou
Apartament w sercu miasta | taras | metro,1515000,24048,3,63,https://www.otodom.pl/pl/oferta/apartament-w-sercu-miasta-taras-metro-ID4BDUc
Jednopoziomowy apartament 226 m2 na Ursynowie,3790000,16743,5,226.37,https://www.otodom.pl/pl/oferta/jednopoziomowy-apartament-226-m2-na-ursynowie-ID4AaDw
"[REALNE ZDJĘCIA] 600m od metra Marymont, Sady Żoliborskie",849000,18867,2,45,https://www.otodom.pl/pl/oferta/realne-zdjecia-600m-od-metra-marymont-sady-zoliborskie-ID4Af0Y
Nowe 2 Pokoje +20min do Centrum+ GARAŻ/BOKS+UMÓW DNI OTWARTE -->TERAZ,454000,13758,2,33,https://www.otodom.pl/pl/oferta/nowe-2-pokoje-20min-do-centrum-garaz-boks-umow-dni-otwarte-teraz-ID4BNxq
2-pokojowe mieszkanie 38m2 + loggia,859000,22516,2,38.15,https://www.otodom.pl/hpr/pl/oferta/2-pokojowe-mieszkanie-38m2-loggia-ID4xuNx
Mieszkanie 3-pokojowe w Mokotowie z balkonem,1840000,20000,3,92,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-w-mokotowie-z-balkonem-ID4BHGK
90m2*3 pokoje*sufit 3m*Osiedle Ażurowych Okiennic,1800000,20112,3,89.5,https://www.otodom.pl/pl/oferta/90m23-pokojesufit-3mosiedle-azurowych-okiennic-ID4BGzi
"⁠Kawalerka 32,5m2, osobna kuchnia. Mokotów, ul. Iwicka. Bezpośrednio",579000,17815,1,32.5,https://www.otodom.pl/pl/oferta/kawalerka-32-5m2-osobna-kuchnia-mokotow-ul-iwicka-bezposrednio-ID4BE7b
"3 pokoje | kamienica | Nowe Miasto, Warszawa",980000,20000,3,49,https://www.otodom.pl/pl/oferta/3-pokoje-kamienica-nowe-miasto-warszawa-ID4BMtX
Nowa Kawalerka_ IDEALNA POD INWESTYCJĘ!_ 20min Centrum_ Dni Otwarte,367000,14115,1,26,https://www.otodom.pl/pl/oferta/nowa-kawalerka-idealna-pod-inwestycje-20min-centrum-dni-otwarte-ID4BNxo
Mieszkanie gotowe | świetna lokalizacja | parking,815000,16979,3,48,https://www.otodom.pl/pl/oferta/mieszkanie-gotowe-swietna-lokalizacja-parking-ID4zgsY
Przestronne | garaż i komórka | wysoki standard,1896540,21900,3,86.6,https://www.otodom.pl/pl/oferta/przestronne-garaz-i-komorka-wysoki-standard-ID4AIoF
1-pokojowe mieszkanie 34m2 + ogródek,N/A,N/A,1,34.67,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-ogrodek-ID4AJbe
Wysokie na 3 metry loftowe 2 pokoje przy WUM w sercu Ochoty,679000,18861,2,36,https://www.otodom.pl/pl/oferta/wysokie-na-3-metry-loftowe-2-pokoje-przy-wum-w-sercu-ochoty-ID4BNx2
Urokliwe wnętrze | kamienica | Stare Miasto,950000,24554,1,38.69,https://www.otodom.pl/pl/oferta/urokliwe-wnetrze-kamienica-stare-miasto-ID4BnzX
nowoczesne mieszkanie | jasne wnętrze | garaż,1190000,20877,2,57,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-jasne-wnetrze-garaz-ID4Btcf
"Przytulne mieszkanie 35,6 m2 z możliwością wydzielenia sypialni Bemowo",580000,16292,1,35.6,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-35-6-m2-z-mozliwoscia-wydzielenia-sypialni-bemowo-ID4BNvT
Wilanów|3 pokoje |Prywatność i widok|Blisko szkoły|2 miejsca postojowe,1472600,19900,3,74,https://www.otodom.pl/pl/oferta/wilanow-3-pokoje-prywatnosc-i-widok-blisko-szkoly-2-miejsca-postojowe-ID4BnnI
Gotowe| 2 pok.| parking,614000,15123,2,40.6,https://www.otodom.pl/pl/oferta/gotowe-2-pok-parking-ID4yKUt
"Wykończone studio 26 m2 Herbu Oksza, gotowe",499000,19569,1,25.5,https://www.otodom.pl/pl/oferta/wykonczone-studio-26-m2-herbu-oksza-gotowe-ID4xBZu
Gotowe dwupokojowe mieszkanie,628000,16509,2,38.04,https://www.otodom.pl/pl/oferta/gotowe-dwupokojowe-mieszkanie-ID4BEih
Mieszkanie 3-pokojowe 57m2 200M od metra KUPUJĄCY NIE PŁACI PROWIZJI !,820000,14475,3,56.65,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-57m2-200m-od-metra-kupujacy-nie-placi-prowizji-ID4BnnB
Mokotów al. Wilanowska⭐2 pokoje+ duży zabudowany balkon // METRO 850m,715000,16418,2,43.55,https://www.otodom.pl/pl/oferta/mokotow-al-wilanowska2-pokoje-duzy-zabudowany-balkon-metro-850m-ID4BNvK
Dwustronny apartament z sypialnią MASTER i prywatnym ogródkiem!,1330210,15500,5,85.82,https://www.otodom.pl/pl/oferta/dwustronny-apartament-z-sypialnia-master-i-prywatnym-ogrodkiem-ID4BNvn
SASKA KĘPA | Jasne 2 pokoje | Balkon | Duża kuchnia | Bez prowizji,795000,15288,2,52,https://www.otodom.pl/pl/oferta/saska-kepa-jasne-2-pokoje-balkon-duza-kuchnia-bez-prowizji-ID4BHr3
"✅Ładne, 4-pokojowe mieszkanie w kamienicy✅",1590000,14215,4,111.85,https://www.otodom.pl/pl/oferta/ladne-4-pokojowe-mieszkanie-w-kamienicy-ID4BNvj
Apartament z ogródkiem | 3m Wysokości | Bez PCC,1270000,18992,2,66.87,https://www.otodom.pl/pl/oferta/apartament-z-ogrodkiem-3m-wysokosci-bez-pcc-ID4BNvg
2-pokojowe mieszkanie 41m2 Bezpośrednio,906586,21930,2,41.34,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-41m2-bezposrednio-ID4BNve
"2 pokoje plus widna kuchnia, odnowiony budynek",655000,13612,2,48.12,https://www.otodom.pl/pl/oferta/2-pokoje-plus-widna-kuchnia-odnowiony-budynek-ID4BNv9
Nowe Wykończone 2-pok 7min do CH Targówek 12min do Metra Bez Wkladu,500924,14440,2,34.69,https://www.otodom.pl/pl/oferta/nowe-wykonczone-2-pok-7min-do-ch-targowek-12min-do-metra-bez-wkladu-ID4BNva
"Super lokalizacja, piękne osiedla, pełna infrastruktura wokół!",1165318,16100,4,72.38,https://www.otodom.pl/pl/oferta/super-lokalizacja-piekne-osiedla-pelna-infrastruktura-wokol-ID4BNv2
Wyjątkowe mieszkanie na Powiślu przy Metrze,863000,23972,2,36,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-na-powislu-przy-metrze-ID4BudR
!!Super Promocja !! Bez Prowizji 0% !! Bezpośrednio !! Umeblowane !!,1255000,18827,3,66.66,https://www.otodom.pl/pl/oferta/super-promocja-bez-prowizji-0-bezposrednio-umeblowane-ID4BJhn
NOVA JEZIOROWA 2,N/A,N/A,N/A,N/A,https://www.otodom.pl/pl/oferta/nova-jeziorowa-2-ID4AqqY
Mieszkanie 80 m2  z garażem na dwa samochody,898924,11163,4,80.53,https://www.otodom.pl/pl/oferta/mieszkanie-80-m2-z-garazem-na-dwa-samochody-ID4BpN8
Mieszkanie 70 m.kw. z garażem i ogrodem,928144,13199,4,70.32,https://www.otodom.pl/pl/oferta/mieszkanie-70-m-kw-z-garazem-i-ogrodem-ID4Ar65
Świetna lokalizacja i cena - okazja! Zapraszam na spotkanie!,893940,15850,3,56.4,https://www.otodom.pl/pl/oferta/swietna-lokalizacja-i-cena-okazja-zapraszam-na-spotkanie-ID4BNwP
4-pokojowe mieszkanie 87m2 + balkon,1684093,19227,4,87.59,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-87m2-balkon-ID4xorC
"Nowe możliwe 2 pokoje, 28 m2 oddane ul. Wołoska",694999,24973,2,27.83,https://www.otodom.pl/pl/oferta/nowe-mozliwe-2-pokoje-28-m2-oddane-ul-woloska-ID4AwE5
Warszawa-Wilanów-54m2-ul.Sarmacka,1065000,19722,2,54,https://www.otodom.pl/pl/oferta/warszawa-wilanow-54m2-ul-sarmacka-ID4BHhb
Miejsce postojowe gratis | Gotowe do zamieszkania,650000,17808,2,36.5,https://www.otodom.pl/pl/oferta/miejsce-postojowe-gratis-gotowe-do-zamieszkania-ID4BNw2
Aura sky / duża loggia / świetna lokalizacja /nowe,665000,18924,1,35.14,https://www.otodom.pl/pl/oferta/aura-sky-duza-loggia-swietna-lokalizacja-nowe-ID4BNuY
Apartamentowiec 2020 r. | Loggia | MP i komórka,929999,18600,2,50,https://www.otodom.pl/pl/oferta/apartamentowiec-2020-r-loggia-mp-i-komorka-ID4BBcU
1-pokojowe mieszkanie 30m2 + ogródek Bezpośrednio,601894,19625,1,30.67,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-ogrodek-bezposrednio-ID4B7pG
Kawalerka | Gotowa do wprowadzenia się | Wola,490000,19208,1,25.51,https://www.otodom.pl/pl/oferta/kawalerka-gotowa-do-wprowadzenia-sie-wola-ID4BNuC
"3 pokoje | kamienica | Nowe Miasto, Warszawa",980000,20000,3,49,https://www.otodom.pl/hpr/pl/oferta/3-pokoje-kamienica-nowe-miasto-warszawa-ID4BMtX
BEZPOŚREDNIO. Po remoncie 51m2 Dolny Mokotów. 2 pokoje z kuchnią,1000090,19726,2,50.7,https://www.otodom.pl/pl/oferta/bezposrednio-po-remoncie-51m2-dolny-mokotow-2-pokoje-z-kuchnia-ID4BNpk
Apartament 186m2 w zrewitalizowanej kamienicy przy Koszykach FRONT,4550000,24462,6,186,https://www.otodom.pl/pl/oferta/apartament-186m2-w-zrewitalizowanej-kamienicy-przy-koszykach-front-ID4AiRC
3-pokojowe mieszkanie 61m2 + balkon,984390,16103,3,61.13,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-61m2-balkon-ID4up41
Mieszkanie 70 m.kw. z garażem i ogrodem,928144,13199,4,70.32,https://www.otodom.pl/pl/oferta/mieszkanie-70-m-kw-z-garazem-i-ogrodem-ID4Ar65
Aura sky / duża loggia / świetna lokalizacja /nowe,665000,18924,1,35.14,https://www.otodom.pl/pl/oferta/aura-sky-duza-loggia-swietna-lokalizacja-nowe-ID4BNuY
Apartamentowiec 2020 r. | Loggia | MP i komórka,929999,18600,2,50,https://www.otodom.pl/pl/oferta/apartamentowiec-2020-r-loggia-mp-i-komorka-ID4BBcU
1-pokojowe mieszkanie 30m2 + ogródek Bezpośrednio,601894,19625,1,30.67,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-ogrodek-bezposrednio-ID4B7pG
Kawalerka | Gotowa do wprowadzenia się | Wola,490000,19208,1,25.51,https://www.otodom.pl/pl/oferta/kawalerka-gotowa-do-wprowadzenia-sie-wola-ID4BNuC
Parking w cenie | KW | Bardzo jasne,785000,16702,2,47,https://www.otodom.pl/pl/oferta/parking-w-cenie-kw-bardzo-jasne-ID4BNuy
3-pokoje Promocyjna Cena - 13min do Metra Ostatnie Sztuki Klucze 2026,841635,14384,3,58.51,https://www.otodom.pl/pl/oferta/3-pokoje-promocyjna-cena-13min-do-metra-ostatnie-sztuki-klucze-2026-ID4BFHg
Kawalerka najlepsze ceny na rynku,366900,14112,1,26,https://www.otodom.pl/pl/oferta/kawalerka-najlepsze-ceny-na-rynku-ID4BMdf
Kawalerka po remoncie - bezpośrednio od właściciela,612000,25500,1,24,https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-bezposrednio-od-wlasciciela-ID4BCTk
Korkowa 146,N/A,N/A,N/A,N/A,https://www.otodom.pl/pl/oferta/korkowa-146-ID4AL91
Korkowa 146 - K1.18,18850740,16500,3,51.56,https://www.otodom.pl/pl/oferta/korkowa-146-k1-18-ID4ALdg
Korkowa 146 - K2.17,17976422,16350,3,59.72,https://www.otodom.pl/pl/oferta/korkowa-146-k2-17-ID4ALdD
"Prywatny OGRÓDEK, bardzo dobra lokalizacja, teraz PROCYJNA CENA!",887120,16150,3,54.93,https://www.otodom.pl/pl/oferta/prywatny-ogrodek-bardzo-dobra-lokalizacja-teraz-procyjna-cena-ID4BNuc
Nowoczesny i cichy apartament 2-pok. z tarasem,1497000,24950,2,60,https://www.otodom.pl/pl/oferta/nowoczesny-i-cichy-apartament-2-pok-z-tarasem-ID4Bi0x
3 pok. z widokiem na panoramę Wa-wy I w pełni umeblowane,849000,15595,3,54.44,https://www.otodom.pl/pl/oferta/3-pok-z-widokiem-na-panorame-wa-wy-i-w-pelni-umeblowane-ID4BDcb
3 pokoje | stan deweloperski | KW | od zaraz,950000,14944,3,63.57,https://www.otodom.pl/pl/oferta/3-pokoje-stan-deweloperski-kw-od-zaraz-ID4ABoN
✨️Apartament Premium | 56 m² Salonu | Komunikacja✨,3414000,24134,5,56,https://www.otodom.pl/pl/oferta/apartament-premium-56-m-salonu-komunikacja-ID4BNu2
✨️Na start | Smart Home ✨| Balkon | Inwestycyjne✨,461000,14072,2,32.76,https://www.otodom.pl/pl/oferta/na-start-smart-home-balkon-inwestycyjne-ID4BNu0
Mieszkanie z widokiem na Pałac Kultury!,680000,18942,2,35.9,https://www.otodom.pl/pl/oferta/mieszkanie-z-widokiem-na-palac-kultury-ID4BNtC
Kawalerka na sprzedaż | Saska Kępa| KW | Niski Budynek |Bezpośrednio,475000,18269,1,26,https://www.otodom.pl/pl/oferta/kawalerka-na-sprzedaz-saska-kepa-kw-niski-budynek-bezposrednio-ID4BDX2
"Eleganckie, na Woli, wysoki standard",1265000,20944,2,60.4,https://www.otodom.pl/pl/oferta/eleganckie-na-woli-wysoki-standard-ID4BDUD
Nowoczesne 4 Pokoje z balkonem | Świetna komunikacja | Bez Prowizji,1049055,14570,4,72,https://www.otodom.pl/pl/oferta/nowoczesne-4-pokoje-z-balkonem-swietna-komunikacja-bez-prowizji-ID4BNtl
"4 pokoje, 2 balkony, 2 łazienki!",1666000,19993,4,83.33,https://www.otodom.pl/pl/oferta/4-pokoje-2-balkony-2-lazienki-ID4BHF2
"Unikatowe studio w stylu loftowym, samo centrum Wa",569000,28030,1,20.3,https://www.otodom.pl/pl/oferta/unikatowe-studio-w-stylu-loftowym-samo-centrum-wa-ID4BJZx
3 pokoje przy Łazienkach Królewskich,1299000,20202,3,64.3,https://www.otodom.pl/pl/oferta/3-pokoje-przy-lazienkach-krolewskich-ID4BHpL
"Nowy apartament w nowym budynku, garaż, concierge",2450000,37577,3,65.2,https://www.otodom.pl/pl/oferta/nowy-apartament-w-nowym-budynku-garaz-concierge-ID4Bhxi
"3 pokoje na ostatnim piętrze, Royal Park Wilanów",1590000,25567,3,62.19,https://www.otodom.pl/pl/oferta/3-pokoje-na-ostatnim-pietrze-royal-park-wilanow-ID4BlZ0
Praga Płd I 2 pokoje | Balkon | Umeblowane | 0% PROWIZJI,959720,20800,2,46.14,https://www.otodom.pl/pl/oferta/praga-pld-i-2-pokoje-balkon-umeblowane-0-prowizji-ID4BNt7
Nowoczesne 2 Pokoje z balkonem | Świetna komunikacja | Bez Prowizji,830000,15091,2,55,https://www.otodom.pl/pl/oferta/nowoczesne-2-pokoje-z-balkonem-swietna-komunikacja-bez-prowizji-ID4BNt4
"!! Taras 32,60 m2, Bez Prowizji0%, Bezpośrednio, Ostatnie piętro !!",2100000,24564,4,85.49,https://www.otodom.pl/pl/oferta/taras-32-60-m2-bez-prowizji0-bezposrednio-ostatnie-pietro-ID4BKqw
Słoneczne 2 pokoje blisko tramwaju i SKM | Do Centrum w 15 min!,642500,16474,2,39,https://www.otodom.pl/pl/oferta/sloneczne-2-pokoje-blisko-tramwaju-i-skm-do-centrum-w-15-min-ID4BNsS
Słoneczne 2 pokoje blisko tramwaju i SKM | Do Centrum w 15 min!,575000,16912,2,34,https://www.otodom.pl/pl/oferta/sloneczne-2-pokoje-blisko-tramwaju-i-skm-do-centrum-w-15-min-ID4BNss
PROMOCJE na Dni otwarte blisko METRO Karolin + Hala Garażowa,837828,13964,4,60,https://www.otodom.pl/pl/oferta/promocje-na-dni-otwarte-blisko-metro-karolin-hala-garazowa-ID4BNs4
Osiedle juu,N/A,N/A,N/A,N/A,https://www.otodom.pl/pl/oferta/osiedle-juu-ID4ui2m
4-pokojowe mieszkanie 71m2 + 3 balkony,1005839,14050,4,71.59,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-71m2-3-balkony-ID4uiHY
3-pokojowe mieszkanie 56m2 + balkon Bezpośrednio,846320,14900,3,56.8,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-56m2-balkon-bezposrednio-ID4uiHw
1-pokojowe mieszkanie 29m2 + balkon Bezpośrednio,516292,17250,1,29.93,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bezposrednio-ID4uiIc
2-pokojowe mieszkanie 44m2 + balkon,755664,16800,2,44.98,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-44m2-balkon-ID4uiIL
Mieszkanie 70 m.kw. z garażem i ogrodem,928144,13199,4,70.32,https://www.otodom.pl/hpr/pl/oferta/mieszkanie-70-m-kw-z-garazem-i-ogrodem-ID4Ar65
Mieszkanie 3pok na Muranowie! Gotowe na wynajem. Doskonała lokalizacja,849000,17999,3,47.17,https://www.otodom.pl/pl/oferta/mieszkanie-3pok-na-muranowie-gotowe-na-wynajem-doskonala-lokalizacja-ID4AQEE
"APARTAMENT, DO KTÓREGO WCHODZISZ Z WALIZKĄ I PO PROSTU ZACZYNASZ ŻYĆ",1275000,28977,3,44,https://www.otodom.pl/pl/oferta/apartament-do-ktorego-wchodzisz-z-walizka-i-po-prostu-zaczynasz-zyc-ID4BCGl
"Rakowska 16, 2 pokoje na sprzedaż",779000,18180,2,42.85,https://www.otodom.pl/pl/oferta/rakowska-16-2-pokoje-na-sprzedaz-ID4nNXw
Ostatnie kawalerki Blisko METRO Karolin ☎️ Umów się na dni otwarte,463591,17279,1,26.83,https://www.otodom.pl/pl/oferta/ostatnie-kawalerki-blisko-metro-karolin-umow-sie-na-dni-otwarte-ID4BNs0
Gotowe  - odlotowe  2 pokojowe z balkonem,830763,20023,2,41.49,https://www.otodom.pl/pl/oferta/gotowe-odlotowe-2-pokojowe-z-balkonem-ID4B0Hw
Świetny układ mieszkania - 3/4 pokoje w TOP lokalizacji przy tramwaju!,763733,12123,4,63,https://www.otodom.pl/pl/oferta/swietny-uklad-mieszkania-3-4-pokoje-w-top-lokalizacji-przy-tramwaju-ID4BNrX
Ostatnie 3pok+GARAŻ Blisko METRO Karolin ☎️ Umów się na dni otwarte,702668,14584,3,48.18,https://www.otodom.pl/pl/oferta/ostatnie-3pok-garaz-blisko-metro-karolin-umow-sie-na-dni-otwarte-ID4BNrO
PROMOCJE na Dni otwarte blisko METRO WIerzbno + Hala Garażowa,1504260,18457,4,81.5,https://www.otodom.pl/pl/oferta/promocje-na-dni-otwarte-blisko-metro-wierzbno-hala-garazowa-ID4BNrv
Broniewskiego niski budynek,729000,15188,3,48,https://www.otodom.pl/pl/oferta/broniewskiego-niski-budynek-ID4BNru
Służew | 3 pok | Ciche | Inwestycja | Od zaraz,640000,14128,3,45.3,https://www.otodom.pl/pl/oferta/sluzew-3-pok-ciche-inwestycja-od-zaraz-ID4AOji
PROMOCJE na Dni otwarte blisko METRO WIerzbno + Hala Garażowa,1025888,17537,3,58.5,https://www.otodom.pl/pl/oferta/promocje-na-dni-otwarte-blisko-metro-wierzbno-hala-garazowa-ID4BNrl
Atrakcyjne 3 pokojowe mieszkanie na Saskiej Kępie,819001,14888,3,55.01,https://www.otodom.pl/pl/oferta/atrakcyjne-3-pokojowe-mieszkanie-na-saskiej-kepie-ID4BNrg
2 pokoje. ul. Chłodna 15,695000,18099,2,38.4,https://www.otodom.pl/pl/oferta/2-pokoje-ul-chlodna-15-ID4BFnQ
"Ustawne 4pok, 72m2, idealne dla rodziny, URSUS, ul. Warszawska",999000,13875,4,72,https://www.otodom.pl/pl/oferta/ustawne-4pok-72m2-idealne-dla-rodziny-ursus-ul-warszawska-ID4BEVK
"Nowoczesne, klimatyzowane, balkon, garaż, kom.lok,",1099000,29113,2,37.75,https://www.otodom.pl/pl/oferta/nowoczesne-klimatyzowane-balkon-garaz-kom-lok-ID4BGWX
Gotowe do wejścia | Ostatnie piętro | Funkcjonalne,995000,16285,3,61.1,https://www.otodom.pl/pl/oferta/gotowe-do-wejscia-ostatnie-pietro-funkcjonalne-ID4BGT4
Wawer Go 2.0 | mieszkanie 4-pok. | D2_M11,849762,12129,4,70.06,https://www.otodom.pl/pl/oferta/wawer-go-2-0-mieszkanie-4-pok-d2-m11-ID4sKmX
